Product,5th pctl-Land Use (m2/kg),10th pctl-Land Use (m2/kg),Mean-Land Use (m2/kg),Median-Land Use (m2/kg),90th pctl-Land Use (m2/kg),95th pctl-Land Use (m2/kg)
Lamb & Mutton,47.9,60.1,369.8,127.4,442.3,724.7
Bovine Meat (beef herd),70.4,82.8,326.2,170.4,735.1,910.1
Cheese,7.9,9.6,87.8,20.2,239.2,323.5
Dark Chocolate,21.6,34.7,69,53.8,123.3,144.7
Bovine Meat (dairy herd),12.3,14.4,43.2,25.9,64.1,106.4
Olive Oil,7.9,7.9,26.3,17.3,36.3,36.3
Coffee,8.3,8.4,21.6,11.9,40.3,40.7
Sunflower Oil,7.5,8.4,17.7,16.3,27,29.7
Pig Meat,7.4,7.8,17.4,13.4,31.1,34.1
Other Pulses,4.1,9.9,15.6,12.2,41.3,41.9
Nuts,4.2,4.5,13,8.7,26.6,26.6
Poultry Meat,6.5,6.7,12.2,11,16,20.4
Rapeseed Oil,5,5.2,10.6,9.4,19,21
Soybean Oil,4.8,5.3,10.5,9.6,14.6,17.5
Groundnuts,4.2,4.7,9.1,7.9,15.4,15.4
Milk,0.8,1.1,9,2.1,9.3,32.2
Fish (farmed),0.3,0.8,8.4,5.6,10.5,26.3
Oatmeal,2.6,2.9,7.6,7.7,12.9,14
Peas,2.3,2.8,7.5,6.7,14.2,20.5
Eggs,4.3,4.4,6.3,5.7,8.8,8.8
Wheat & Rye (Bread),1,1.1,3.9,2.7,7.9,10
Tofu,1.6,1.8,3.5,3.4,4.9,5.9
Crustaceans (farmed),0.6,0.6,3,0.8,5.2,5.2
Maize (Meal),1,1.1,2.9,1.8,5.7,9
Rice,1,1.1,2.8,2.2,6.2,7.2
Palm Oil,1.4,1.7,2.4,2.4,3,3.3
Berries & Grapes,0.2,0.3,2.4,2.6,6.9,6.9
Cane Sugar,1.1,1.2,2,1.8,3.1,3.5
Bananas,0.2,0.3,1.9,1.4,3,9.4
Beet Sugar,1.1,1.2,1.8,1.5,3.1,3.3
Cassava,0.7,0.8,1.8,1.3,3.2,3.3
Wine,0.9,0.9,1.8,1.6,2.8,3.5
Barley (Beer),0.2,0.3,1.1,0.9,2.4,2.9
Other Fruit,0.2,0.2,0.9,0.9,1.4,1.9
Potatoes,0.4,0.4,0.9,0.8,1.4,1.7
Citrus Fruit,0.3,0.4,0.9,0.7,1.8,1.8
Tomatoes,0.1,0.1,0.8,0.2,0.9,5.6
Soymilk,0.3,0.3,0.7,0.6,0.9,1.1
Apples,0.3,0.3,0.6,0.5,1,1
Brassicas,0.2,0.2,0.6,0.3,0.8,2.3
Onions & Leeks,0.1,0.1,0.4,0.3,0.6,0.6
Other Vegetables,0.2,0.2,0.4,0.2,0.8,1.1
Root Vegetables,0.2,0.2,0.3,0.3,0.3,0.5