Entity,Code,Year,Land use per 100g protein (mÂ² per 100g protein)
Apples,,2018,21
Bananas,,2018,21.44444444
Beef (beef herd),,2018,163.5957874
Beef (dairy herd),,2018,21.9047619
Berries & Grapes,,2018,24.1
Brassicas,,2018,5
Cassava,,2018,20.11111111
Cheese,,2018,39.75996377
Citrus Fruit,,2018,14.33333333
Coffee,,2018,27.025
Dark Chocolate,,2018,137.92
Eggs,,2018,5.650684932
Fish (farmed),,2018,3.687787766
Grains,,2018,4.6
Groundnuts,,2018,3.479755539
Lamb & Mutton,,2018,184.8125937
Maize,,2018,3.094736842
Milk,,2018,27.12121212
Nuts,,2018,7.936313533
Oatmeal,,2018,5.846153846
Onions & Leeks,,2018,3
Other Pulses,,2018,7.272302662
Peas,,2018,3.357335734
Pig Meat,,2018,10.72929543
Potatoes,,2018,5.176470588
Poultry Meat,,2018,7.055427252
Prawns (farmed),,2018,2.010832769
Rice,,2018,3.943661972
Root Vegetables,,2018,3.3
Tofu (soybeans),,2018,2.2
Tomatoes,,2018,7.272727273
Wheat & Rye,,2018,3.155737705