Sector,Source,Year,Energy Use (quadrillion Btu)
Residential,Liquids,2010,8.9839
Residential,Liquids,2011,8.6268
Residential,Liquids,2012,8.615
Residential,Liquids,2013,8.8185
Residential,Liquids,2014,8.7863
Residential,Liquids,2015,8.9399
Residential,Liquids,2016,8.7698
Residential,Liquids,2017,9.0494
Residential,Liquids,2018,8.8831
Residential,Liquids,2019,8.7678
Residential,Liquids,2020,8.651
Residential,Liquids,2021,8.5203
Residential,Liquids,2022,8.4534
Residential,Liquids,2023,8.4107
Residential,Liquids,2024,8.3842
Residential,Liquids,2025,8.3267
Residential,Liquids,2026,8.3208
Residential,Liquids,2027,8.3059
Residential,Liquids,2028,8.3051
Residential,Liquids,2029,8.2986
Residential,Liquids,2030,8.3058
Residential,Liquids,2031,8.3034
Residential,Liquids,2032,8.2911
Residential,Liquids,2033,8.279
Residential,Liquids,2034,8.2796
Residential,Liquids,2035,8.2762
Residential,Liquids,2036,8.272
Residential,Liquids,2037,8.2661
Residential,Liquids,2038,8.2497
Residential,Liquids,2039,8.2623
Residential,Liquids,2040,8.2563
Residential,Liquids,2041,8.257
Residential,Liquids,2042,8.2396
Residential,Liquids,2043,8.2452
Residential,Liquids,2044,8.2309
Residential,Liquids,2045,8.2274
Residential,Liquids,2046,8.2052
Residential,Liquids,2047,8.2128
Residential,Liquids,2048,8.21
Residential,Liquids,2049,8.2024
Residential,Liquids,2050,8.1974
Residential,Natural Gas,2010,20.3511
Residential,Natural Gas,2011,20.3008
Residential,Natural Gas,2012,19.6396
Residential,Natural Gas,2013,20.6791
Residential,Natural Gas,2014,20.3006
Residential,Natural Gas,2015,19.9221
Residential,Natural Gas,2016,20.2256
Residential,Natural Gas,2017,20.6112
Residential,Natural Gas,2018,21.3124
Residential,Natural Gas,2019,21.5178
Residential,Natural Gas,2020,21.5054
Residential,Natural Gas,2021,21.6016
Residential,Natural Gas,2022,21.7092
Residential,Natural Gas,2023,21.8477
Residential,Natural Gas,2024,22.0073
Residential,Natural Gas,2025,22.1467
Residential,Natural Gas,2026,22.3604
Residential,Natural Gas,2027,22.5204
Residential,Natural Gas,2028,22.6916
Residential,Natural Gas,2029,22.9082
Residential,Natural Gas,2030,23.0959
Residential,Natural Gas,2031,23.237
Residential,Natural Gas,2032,23.3993
Residential,Natural Gas,2033,23.565
Residential,Natural Gas,2034,23.7484
Residential,Natural Gas,2035,23.9038
Residential,Natural Gas,2036,24.1025
Residential,Natural Gas,2037,24.296
Residential,Natural Gas,2038,24.505
Residential,Natural Gas,2039,24.6532
Residential,Natural Gas,2040,24.8701
Residential,Natural Gas,2041,25.0548
Residential,Natural Gas,2042,25.2437
Residential,Natural Gas,2043,25.4481
Residential,Natural Gas,2044,25.6431
Residential,Natural Gas,2045,25.8149
Residential,Natural Gas,2046,26.0029
Residential,Natural Gas,2047,26.1772
Residential,Natural Gas,2048,26.3683
Residential,Natural Gas,2049,26.5076
Residential,Natural Gas,2050,26.7174
Residential,Coal,2010,4.3716
Residential,Coal,2011,4.4247
Residential,Coal,2012,4.6623
Residential,Coal,2013,4.4728
Residential,Coal,2014,4.3936
Residential,Coal,2015,4.3364
Residential,Coal,2016,4.1996
Residential,Coal,2017,3.9074
Residential,Coal,2018,3.8407
Residential,Coal,2019,3.7776
Residential,Coal,2020,3.7234
Residential,Coal,2021,3.6634
Residential,Coal,2022,3.6192
Residential,Coal,2023,3.5794
Residential,Coal,2024,3.5399
Residential,Coal,2025,3.5048
Residential,Coal,2026,3.4706
Residential,Coal,2027,3.4395
Residential,Coal,2028,3.4019
Residential,Coal,2029,3.3661
Residential,Coal,2030,3.332
Residential,Coal,2031,3.3004
Residential,Coal,2032,3.268
Residential,Coal,2033,3.238
Residential,Coal,2034,3.2083
Residential,Coal,2035,3.1817
Residential,Coal,2036,3.1566
Residential,Coal,2037,3.1295
Residential,Coal,2038,3.1026
Residential,Coal,2039,3.0795
Residential,Coal,2040,3.0539
Residential,Coal,2041,3.0334
Residential,Coal,2042,3.0115
Residential,Coal,2043,2.9946
Residential,Coal,2044,2.9786
Residential,Coal,2045,2.9649
Residential,Coal,2046,2.9438
Residential,Coal,2047,2.9243
Residential,Coal,2048,2.9065
Residential,Coal,2049,2.8885
Residential,Coal,2050,2.8727
Residential,Electricity,2010,17.8249
Residential,Electricity,2011,18.0215
Residential,Electricity,2012,18.4112
Residential,Electricity,2013,19.1342
Residential,Electricity,2014,19.5067
Residential,Electricity,2015,20.2682
Residential,Electricity,2016,21.048
Residential,Electricity,2017,22.1173
Residential,Electricity,2018,23.0272
Residential,Electricity,2019,23.5229
Residential,Electricity,2020,24.0874
Residential,Electricity,2021,24.6547
Residential,Electricity,2022,25.2433
Residential,Electricity,2023,25.8634
Residential,Electricity,2024,26.5254
Residential,Electricity,2025,27.2186
Residential,Electricity,2026,28.0113
Residential,Electricity,2027,28.8383
Residential,Electricity,2028,29.6902
Residential,Electricity,2029,30.5851
Residential,Electricity,2030,31.5096
Residential,Electricity,2031,32.3296
Residential,Electricity,2032,33.1727
Residential,Electricity,2033,34.0346
Residential,Electricity,2034,34.9304
Residential,Electricity,2035,35.8563
Residential,Electricity,2036,36.695
Residential,Electricity,2037,37.5488
Residential,Electricity,2038,38.4026
Residential,Electricity,2039,39.2792
Residential,Electricity,2040,40.174
Residential,Electricity,2041,41.2336
Residential,Electricity,2042,42.3286
Residential,Electricity,2043,43.4535
Residential,Electricity,2044,44.6227
Residential,Electricity,2045,45.8093
Residential,Electricity,2046,46.7697
Residential,Electricity,2047,47.7294
Residential,Electricity,2048,48.6893
Residential,Electricity,2049,49.6382
Residential,Electricity,2050,50.6397
Residential,Renewables,2010,0.9966
Residential,Renewables,2011,1.0805
Residential,Renewables,2012,1.0442
Residential,Renewables,2013,1.3922
Residential,Renewables,2014,1.4514
Residential,Renewables,2015,1.3773
Residential,Renewables,2016,1.7405
Residential,Renewables,2017,1.7387
Residential,Renewables,2018,1.8213
Residential,Renewables,2019,1.843
Residential,Renewables,2020,1.8409
Residential,Renewables,2021,1.8475
Residential,Renewables,2022,1.8531
Residential,Renewables,2023,1.8599
Residential,Renewables,2024,1.8695
Residential,Renewables,2025,1.8799
Residential,Renewables,2026,1.8903
Residential,Renewables,2027,1.9019
Residential,Renewables,2028,1.912
Residential,Renewables,2029,1.9223
Residential,Renewables,2030,1.9313
Residential,Renewables,2031,1.9402
Residential,Renewables,2032,1.9491
Residential,Renewables,2033,1.9586
Residential,Renewables,2034,1.9673
Residential,Renewables,2035,1.976
Residential,Renewables,2036,1.9856
Residential,Renewables,2037,1.9943
Residential,Renewables,2038,2.0032
Residential,Renewables,2039,2.0125
Residential,Renewables,2040,2.0221
Residential,Renewables,2041,2.0317
Residential,Renewables,2042,2.0419
Residential,Renewables,2043,2.0519
Residential,Renewables,2044,2.0618
Residential,Renewables,2045,2.0719
Residential,Renewables,2046,2.0822
Residential,Renewables,2047,2.0926
Residential,Renewables,2048,2.1033
Residential,Renewables,2049,2.1138
Residential,Renewables,2050,2.1245
Residential,Total Residential Delivered Energy,2010,52.528
Residential,Total Residential Delivered Energy,2011,52.4543
Residential,Total Residential Delivered Energy,2012,52.3724
Residential,Total Residential Delivered Energy,2013,54.4968
Residential,Total Residential Delivered Energy,2014,54.4386
Residential,Total Residential Delivered Energy,2015,54.8439
Residential,Total Residential Delivered Energy,2016,55.9835
Residential,Total Residential Delivered Energy,2017,57.4241
Residential,Total Residential Delivered Energy,2018,58.8846
Residential,Total Residential Delivered Energy,2019,59.4291
Residential,Total Residential Delivered Energy,2020,59.8081
Residential,Total Residential Delivered Energy,2021,60.2875
Residential,Total Residential Delivered Energy,2022,60.8782
Residential,Total Residential Delivered Energy,2023,61.5611
Residential,Total Residential Delivered Energy,2024,62.3263
Residential,Total Residential Delivered Energy,2025,63.0766
Residential,Total Residential Delivered Energy,2026,64.0535
Residential,Total Residential Delivered Energy,2027,65.006
Residential,Total Residential Delivered Energy,2028,66.0008
Residential,Total Residential Delivered Energy,2029,67.0802
Residential,Total Residential Delivered Energy,2030,68.1745
Residential,Total Residential Delivered Energy,2031,69.1105
Residential,Total Residential Delivered Energy,2032,70.0802
Residential,Total Residential Delivered Energy,2033,71.0751
Residential,Total Residential Delivered Energy,2034,72.134
Residential,Total Residential Delivered Energy,2035,73.194
Residential,Total Residential Delivered Energy,2036,74.2117
Residential,Total Residential Delivered Energy,2037,75.2348
Residential,Total Residential Delivered Energy,2038,76.263
Residential,Total Residential Delivered Energy,2039,77.2866
Residential,Total Residential Delivered Energy,2040,78.3765
Residential,Total Residential Delivered Energy,2041,79.6105
Residential,Total Residential Delivered Energy,2042,80.8654
Residential,Total Residential Delivered Energy,2043,82.1933
Residential,Total Residential Delivered Energy,2044,83.5371
Residential,Total Residential Delivered Energy,2045,84.8884
Residential,Total Residential Delivered Energy,2046,86.0038
Residential,Total Residential Delivered Energy,2047,87.1362
Residential,Total Residential Delivered Energy,2048,88.2773
Residential,Total Residential Delivered Energy,2049,89.3505
Residential,Total Residential Delivered Energy,2050,90.5516
Commercial,Liquids,2010,3.7769
Commercial,Liquids,2011,3.7035
Commercial,Liquids,2012,3.598
Commercial,Liquids,2013,3.6885
Commercial,Liquids,2014,3.5238
Commercial,Liquids,2015,3.8887
Commercial,Liquids,2016,3.8668
Commercial,Liquids,2017,3.9743
Commercial,Liquids,2018,3.9369
Commercial,Liquids,2019,3.9504
Commercial,Liquids,2020,3.9249
Commercial,Liquids,2021,3.8688
Commercial,Liquids,2022,3.8483
Commercial,Liquids,2023,3.8452
Commercial,Liquids,2024,3.8515
Commercial,Liquids,2025,3.8461
Commercial,Liquids,2026,3.8588
Commercial,Liquids,2027,3.8645
Commercial,Liquids,2028,3.8863
Commercial,Liquids,2029,3.9007
Commercial,Liquids,2030,3.9303
Commercial,Liquids,2031,3.9504
Commercial,Liquids,2032,3.9675
Commercial,Liquids,2033,3.9775
Commercial,Liquids,2034,4.0003
Commercial,Liquids,2035,4.0197
Commercial,Liquids,2036,4.0398
Commercial,Liquids,2037,4.057
Commercial,Liquids,2038,4.0683
Commercial,Liquids,2039,4.0979
Commercial,Liquids,2040,4.1174
Commercial,Liquids,2041,4.1416
Commercial,Liquids,2042,4.1547
Commercial,Liquids,2043,4.1872
Commercial,Liquids,2044,4.2016
Commercial,Liquids,2045,4.2268
Commercial,Liquids,2046,4.2367
Commercial,Liquids,2047,4.2672
Commercial,Liquids,2048,4.2931
Commercial,Liquids,2049,4.3118
Commercial,Liquids,2050,4.336
Commercial,Natural Gas,2010,8.4604
Commercial,Natural Gas,2011,8.4046
Commercial,Natural Gas,2012,8.2609
Commercial,Natural Gas,2013,8.915
Commercial,Natural Gas,2014,8.9163
Commercial,Natural Gas,2015,8.7477
Commercial,Natural Gas,2016,8.787
Commercial,Natural Gas,2017,8.9544
Commercial,Natural Gas,2018,9.1591
Commercial,Natural Gas,2019,9.2576
Commercial,Natural Gas,2020,9.2566
Commercial,Natural Gas,2021,9.2791
Commercial,Natural Gas,2022,9.302
Commercial,Natural Gas,2023,9.3274
Commercial,Natural Gas,2024,9.3561
Commercial,Natural Gas,2025,9.3835
Commercial,Natural Gas,2026,9.4429
Commercial,Natural Gas,2027,9.4992
Commercial,Natural Gas,2028,9.5613
Commercial,Natural Gas,2029,9.6311
Commercial,Natural Gas,2030,9.6932
Commercial,Natural Gas,2031,9.7494
Commercial,Natural Gas,2032,9.8097
Commercial,Natural Gas,2033,9.8752
Commercial,Natural Gas,2034,9.9429
Commercial,Natural Gas,2035,10.0103
Commercial,Natural Gas,2036,10.0847
Commercial,Natural Gas,2037,10.1529
Commercial,Natural Gas,2038,10.2321
Commercial,Natural Gas,2039,10.2956
Commercial,Natural Gas,2040,10.3785
Commercial,Natural Gas,2041,10.4535
Commercial,Natural Gas,2042,10.5274
Commercial,Natural Gas,2043,10.6082
Commercial,Natural Gas,2044,10.686
Commercial,Natural Gas,2045,10.7577
Commercial,Natural Gas,2046,10.8365
Commercial,Natural Gas,2047,10.9109
Commercial,Natural Gas,2048,10.9924
Commercial,Natural Gas,2049,11.0546
Commercial,Natural Gas,2050,11.139
Commercial,Coal,2010,1.617
Commercial,Coal,2011,1.6919
Commercial,Coal,2012,1.8207
Commercial,Coal,2013,1.8137
Commercial,Coal,2014,1.7221
Commercial,Coal,2015,1.7479
Commercial,Coal,2016,1.6858
Commercial,Coal,2017,1.6314
Commercial,Coal,2018,1.6039
Commercial,Coal,2019,1.5868
Commercial,Coal,2020,1.5762
Commercial,Coal,2021,1.567
Commercial,Coal,2022,1.5604
Commercial,Coal,2023,1.5557
Commercial,Coal,2024,1.5512
Commercial,Coal,2025,1.5484
Commercial,Coal,2026,1.547
Commercial,Coal,2027,1.5469
Commercial,Coal,2028,1.5447
Commercial,Coal,2029,1.5431
Commercial,Coal,2030,1.5419
Commercial,Coal,2031,1.5431
Commercial,Coal,2032,1.5446
Commercial,Coal,2033,1.5468
Commercial,Coal,2034,1.5496
Commercial,Coal,2035,1.5532
Commercial,Coal,2036,1.5564
Commercial,Coal,2037,1.5589
Commercial,Coal,2038,1.5616
Commercial,Coal,2039,1.5654
Commercial,Coal,2040,1.5692
Commercial,Coal,2041,1.5735
Commercial,Coal,2042,1.5778
Commercial,Coal,2043,1.5831
Commercial,Coal,2044,1.5889
Commercial,Coal,2045,1.5954
Commercial,Coal,2046,1.6014
Commercial,Coal,2047,1.6079
Commercial,Coal,2048,1.6151
Commercial,Coal,2049,1.6227
Commercial,Coal,2050,1.6307
Commercial,Electricity,2010,14.775
Commercial,Electricity,2011,14.9744
Commercial,Electricity,2012,15.244
Commercial,Electricity,2013,15.6383
Commercial,Electricity,2014,15.8661
Commercial,Electricity,2015,16.4975
Commercial,Electricity,2016,16.8337
Commercial,Electricity,2017,17.1588
Commercial,Electricity,2018,17.6173
Commercial,Electricity,2019,17.8588
Commercial,Electricity,2020,18.2426
Commercial,Electricity,2021,18.6256
Commercial,Electricity,2022,19.0078
Commercial,Electricity,2023,19.3721
Commercial,Electricity,2024,19.7441
Commercial,Electricity,2025,20.1285
Commercial,Electricity,2026,20.5355
Commercial,Electricity,2027,20.953
Commercial,Electricity,2028,21.3836
Commercial,Electricity,2029,21.8279
Commercial,Electricity,2030,22.2652
Commercial,Electricity,2031,22.6734
Commercial,Electricity,2032,23.067
Commercial,Electricity,2033,23.472
Commercial,Electricity,2034,23.8873
Commercial,Electricity,2035,24.3116
Commercial,Electricity,2036,24.7303
Commercial,Electricity,2037,25.1467
Commercial,Electricity,2038,25.5649
Commercial,Electricity,2039,25.9912
Commercial,Electricity,2040,26.4214
Commercial,Electricity,2041,26.8741
Commercial,Electricity,2042,27.3425
Commercial,Electricity,2043,27.8194
Commercial,Electricity,2044,28.306
Commercial,Electricity,2045,28.8054
Commercial,Electricity,2046,29.2835
Commercial,Electricity,2047,29.769
Commercial,Electricity,2048,30.2571
Commercial,Electricity,2049,30.7533
Commercial,Electricity,2050,31.2654
Commercial,Renewables,2010,0.1548
Commercial,Renewables,2011,0.1708
Commercial,Renewables,2012,0.1737
Commercial,Renewables,2013,0.2089
Commercial,Renewables,2014,0.2217
Commercial,Renewables,2015,0.2321
Commercial,Renewables,2016,0.286
Commercial,Renewables,2017,0.2964
Commercial,Renewables,2018,0.2977
Commercial,Renewables,2019,0.2989
Commercial,Renewables,2020,0.3002
Commercial,Renewables,2021,0.3015
Commercial,Renewables,2022,0.3028
Commercial,Renewables,2023,0.3041
Commercial,Renewables,2024,0.3054
Commercial,Renewables,2025,0.3067
Commercial,Renewables,2026,0.308
Commercial,Renewables,2027,0.3093
Commercial,Renewables,2028,0.3107
Commercial,Renewables,2029,0.312
Commercial,Renewables,2030,0.3134
Commercial,Renewables,2031,0.3148
Commercial,Renewables,2032,0.3162
Commercial,Renewables,2033,0.3176
Commercial,Renewables,2034,0.319
Commercial,Renewables,2035,0.3204
Commercial,Renewables,2036,0.3218
Commercial,Renewables,2037,0.3233
Commercial,Renewables,2038,0.3247
Commercial,Renewables,2039,0.3262
Commercial,Renewables,2040,0.3277
Commercial,Renewables,2041,0.3292
Commercial,Renewables,2042,0.3307
Commercial,Renewables,2043,0.3322
Commercial,Renewables,2044,0.3337
Commercial,Renewables,2045,0.3353
Commercial,Renewables,2046,0.3368
Commercial,Renewables,2047,0.3384
Commercial,Renewables,2048,0.34
Commercial,Renewables,2049,0.3416
Commercial,Renewables,2050,0.3432
Commercial,Total Commercial Delivered Energy,2010,28.784
Commercial,Total Commercial Delivered Energy,2011,28.9452
Commercial,Total Commercial Delivered Energy,2012,29.0973
Commercial,Total Commercial Delivered Energy,2013,30.2643
Commercial,Total Commercial Delivered Energy,2014,30.2501
Commercial,Total Commercial Delivered Energy,2015,31.1139
Commercial,Total Commercial Delivered Energy,2016,31.4593
Commercial,Total Commercial Delivered Energy,2017,32.0153
Commercial,Total Commercial Delivered Energy,2018,32.6148
Commercial,Total Commercial Delivered Energy,2019,32.9524
Commercial,Total Commercial Delivered Energy,2020,33.3005
Commercial,Total Commercial Delivered Energy,2021,33.6421
Commercial,Total Commercial Delivered Energy,2022,34.0213
Commercial,Total Commercial Delivered Energy,2023,34.4045
Commercial,Total Commercial Delivered Energy,2024,34.8083
Commercial,Total Commercial Delivered Energy,2025,35.2131
Commercial,Total Commercial Delivered Energy,2026,35.6922
Commercial,Total Commercial Delivered Energy,2027,36.1729
Commercial,Total Commercial Delivered Energy,2028,36.6866
Commercial,Total Commercial Delivered Energy,2029,37.2148
Commercial,Total Commercial Delivered Energy,2030,37.7441
Commercial,Total Commercial Delivered Energy,2031,38.231
Commercial,Total Commercial Delivered Energy,2032,38.7049
Commercial,Total Commercial Delivered Energy,2033,39.1891
Commercial,Total Commercial Delivered Energy,2034,39.6991
Commercial,Total Commercial Delivered Energy,2035,40.2151
Commercial,Total Commercial Delivered Energy,2036,40.7331
Commercial,Total Commercial Delivered Energy,2037,41.2387
Commercial,Total Commercial Delivered Energy,2038,41.7516
Commercial,Total Commercial Delivered Energy,2039,42.2764
Commercial,Total Commercial Delivered Energy,2040,42.8143
Commercial,Total Commercial Delivered Energy,2041,43.3719
Commercial,Total Commercial Delivered Energy,2042,43.9331
Commercial,Total Commercial Delivered Energy,2043,44.5301
Commercial,Total Commercial Delivered Energy,2044,45.1162
Commercial,Total Commercial Delivered Energy,2045,45.7205
Commercial,Total Commercial Delivered Energy,2046,46.2949
Commercial,Total Commercial Delivered Energy,2047,46.8934
Commercial,Total Commercial Delivered Energy,2048,47.4977
Commercial,Total Commercial Delivered Energy,2049,48.0839
Commercial,Total Commercial Delivered Energy,2050,48.7143
Industrial,Liquids,2010,58.4134
Industrial,Liquids,2011,58.0442
Industrial,Liquids,2012,59.208
Industrial,Liquids,2013,58.8252
Industrial,Liquids,2014,60.0855
Industrial,Liquids,2015,61.1289
Industrial,Liquids,2016,62.1488
Industrial,Liquids,2017,61.7001
Industrial,Liquids,2018,62.4094
Industrial,Liquids,2019,62.635
Industrial,Liquids,2020,63.1505
Industrial,Liquids,2021,63.7584
Industrial,Liquids,2022,64.0159
Industrial,Liquids,2023,64.224
Industrial,Liquids,2024,64.5173
Industrial,Liquids,2025,65.1501
Industrial,Liquids,2026,65.3077
Industrial,Liquids,2027,65.9477
Industrial,Liquids,2028,66.5104
Industrial,Liquids,2029,67.1766
Industrial,Liquids,2030,67.8527
Industrial,Liquids,2031,68.595
Industrial,Liquids,2032,69.1768
Industrial,Liquids,2033,69.8122
Industrial,Liquids,2034,70.3942
Industrial,Liquids,2035,71.1488
Industrial,Liquids,2036,71.7751
Industrial,Liquids,2037,72.4995
Industrial,Liquids,2038,73.2921
Industrial,Liquids,2039,73.8128
Industrial,Liquids,2040,74.4788
Industrial,Liquids,2041,75.3088
Industrial,Liquids,2042,76.0868
Industrial,Liquids,2043,76.6902
Industrial,Liquids,2044,77.4471
Industrial,Liquids,2045,78.1609
Industrial,Liquids,2046,78.9985
Industrial,Liquids,2047,79.6959
Industrial,Liquids,2048,80.5417
Industrial,Liquids,2049,81.1075
Industrial,Liquids,2050,81.9011
Industrial,Natural Gas,2010,47.2811
Industrial,Natural Gas,2011,49.9925
Industrial,Natural Gas,2012,51.91
Industrial,Natural Gas,2013,52.8133
Industrial,Natural Gas,2014,53.3914
Industrial,Natural Gas,2015,53.5952
Industrial,Natural Gas,2016,54.3692
Industrial,Natural Gas,2017,54.5399
Industrial,Natural Gas,2018,55.2578
Industrial,Natural Gas,2019,55.4904
Industrial,Natural Gas,2020,55.9433
Industrial,Natural Gas,2021,56.9425
Industrial,Natural Gas,2022,57.2623
Industrial,Natural Gas,2023,57.6332
Industrial,Natural Gas,2024,58.0155
Industrial,Natural Gas,2025,58.5085
Industrial,Natural Gas,2026,59.1312
Industrial,Natural Gas,2027,59.6141
Industrial,Natural Gas,2028,60.2114
Industrial,Natural Gas,2029,60.728
Industrial,Natural Gas,2030,61.1896
Industrial,Natural Gas,2031,61.753
Industrial,Natural Gas,2032,62.1636
Industrial,Natural Gas,2033,62.7846
Industrial,Natural Gas,2034,63.3913
Industrial,Natural Gas,2035,64.1192
Industrial,Natural Gas,2036,64.6208
Industrial,Natural Gas,2037,65.2401
Industrial,Natural Gas,2038,65.8651
Industrial,Natural Gas,2039,66.6009
Industrial,Natural Gas,2040,67.386
Industrial,Natural Gas,2041,68.0889
Industrial,Natural Gas,2042,68.8455
Industrial,Natural Gas,2043,69.6082
Industrial,Natural Gas,2044,70.267
Industrial,Natural Gas,2045,71.0621
Industrial,Natural Gas,2046,71.8392
Industrial,Natural Gas,2047,72.6045
Industrial,Natural Gas,2048,73.4744
Industrial,Natural Gas,2049,74.2506
Industrial,Natural Gas,2050,75.1197
Industrial,Coal,2010,62.2455
Industrial,Coal,2011,66.427
Industrial,Coal,2012,69.3353
Industrial,Coal,2013,69.1349
Industrial,Coal,2014,69.5443
Industrial,Coal,2015,68.1609
Industrial,Coal,2016,64.8812
Industrial,Coal,2017,63.9576
Industrial,Coal,2018,63.6836
Industrial,Coal,2019,62.7543
Industrial,Coal,2020,62.3643
Industrial,Coal,2021,61.9557
Industrial,Coal,2022,61.6453
Industrial,Coal,2023,61.4956
Industrial,Coal,2024,61.4268
Industrial,Coal,2025,61.4057
Industrial,Coal,2026,61.3351
Industrial,Coal,2027,61.4613
Industrial,Coal,2028,61.6204
Industrial,Coal,2029,61.8833
Industrial,Coal,2030,62.1726
Industrial,Coal,2031,62.5268
Industrial,Coal,2032,62.8218
Industrial,Coal,2033,63.2495
Industrial,Coal,2034,63.6403
Industrial,Coal,2035,64.1695
Industrial,Coal,2036,64.7904
Industrial,Coal,2037,65.4179
Industrial,Coal,2038,66.0716
Industrial,Coal,2039,66.7987
Industrial,Coal,2040,67.5142
Industrial,Coal,2041,68.4273
Industrial,Coal,2042,69.3537
Industrial,Coal,2043,70.3219
Industrial,Coal,2044,71.3337
Industrial,Coal,2045,72.3624
Industrial,Coal,2046,73.409
Industrial,Coal,2047,74.3858
Industrial,Coal,2048,75.4142
Industrial,Coal,2049,76.3814
Industrial,Coal,2050,77.3567
Industrial,Electricity,2010,29.8128
Industrial,Electricity,2011,31.5648
Industrial,Electricity,2012,32.2753
Industrial,Electricity,2013,33.2201
Industrial,Electricity,2014,34.0303
Industrial,Electricity,2015,34.0561
Industrial,Electricity,2016,34.9618
Industrial,Electricity,2017,35.0541
Industrial,Electricity,2018,36.6742
Industrial,Electricity,2019,37.2181
Industrial,Electricity,2020,37.8984
Industrial,Electricity,2021,38.5858
Industrial,Electricity,2022,39.0508
Industrial,Electricity,2023,39.5232
Industrial,Electricity,2024,40.0074
Industrial,Electricity,2025,40.5475
Industrial,Electricity,2026,40.9686
Industrial,Electricity,2027,41.5087
Industrial,Electricity,2028,42.0129
Industrial,Electricity,2029,42.5513
Industrial,Electricity,2030,43.0491
Industrial,Electricity,2031,43.5407
Industrial,Electricity,2032,43.9403
Industrial,Electricity,2033,44.3583
Industrial,Electricity,2034,44.7069
Industrial,Electricity,2035,45.1649
Industrial,Electricity,2036,45.6111
Industrial,Electricity,2037,46.0546
Industrial,Electricity,2038,46.4051
Industrial,Electricity,2039,46.7837
Industrial,Electricity,2040,47.131
Industrial,Electricity,2041,47.5807
Industrial,Electricity,2042,47.9911
Industrial,Electricity,2043,48.448
